Title,Description,Author,Editors,Date,Keywords,Publisher,Relation-Is Part Of,Source,Contributing Institution,Resource Identifier,Rights,Standardized Rights,Type,Format Digital,Language,Date Digital,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
Sixth Annual Report For the Fiscal Year 1953-1954,"The report contains four main sections: summary of projects and status, work accomplishments, evaluation and comments, and list of publications. The work accomplishments section discussing projects is divided into forest management, range management, and wildlife and fisheries management.","Wohletz, Ernest; Tisdale, E.W.; Various Contributors",,1954,,"University of Idaho Forest, Wildlife and Range Experiment Station",Annual Reports - 1954 (Sixth),"Idaho SD12.I2 U45, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-ar06,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/0,0,1.pdf,/fwres/image/1.pdf
Seventeenth Annual Report For the Fiscal Year 1964-1965,"The report gives a summary of the college's activity during the year including staff activity and projects conducted by forest management, range management, and wildlife and fisheries management. It also contains an appendix listing Forest, Wildlife and Range Experiment Station Staff and sources of research funds and other support.","Wohletz, Ernest; Tisdale, E.W.; Various Contributors",,1965-12-01,,"University of Idaho Forest, Wildlife and Range Experiment Station","Annual Reports - December, 1965 (Seventeenth)","Idaho SD12.I2 U45, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences; U.S. Department of Agriculture;",uifwre-ar17,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/1,1,10.pdf,/fwres/image/10.pdf
A Checklist of the Cone & Seed Insects of Idaho,"The report inventories the insect species attacking cones and seeds of Idaho conifers. It identifies, describes, and determines the extent of damage caused by both immature and adult insects and determines ecological life histories and intra- and interspecific relationships of various cone and seed insects.","Kulhavy, D.L.; Dale, J.W.; Schenk, J.A.",,1975-01-01,,"University of Idaho College of Forestry, Wildlife and Range Sciences",Information Series - January 1975 (No.6),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is06,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/2,2,100.pdf,/fwres/image/100.pdf
1974 Directory of Idaho's Forest Products Industry,"The directory contains four sections. The first is a complete alphabetical listing of firms in Idaho's forest products industry. The second is an alphabetical listing of firms by county and includes the species used and products produced by each firm and complete mailing addresses for the firms. The third section lists the firms, by number, that produce each of the products indicated. The fourth section lists those firms that use the indicated species to manufacture various products.","Godfrey, E. Bruce; Shuster, Ervin G.; Koss, William D.",,1975-01-01,,"University of Idaho College of Forestry, Wildlife and Range Sciences",Information Series - January 1975 (No.7),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is07,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/3,3,101.pdf,/fwres/image/101.pdf
Focus on Renewable Natural Resources Fiscal 1981 Annual Report,"The bulletin highlights research in the Department of Wildland Recreation Management, including visiting Chinese scholars studying park development. Other articles discuss fungi, deer populations, and lead poisoning at the Hagerman Wildlife Management Area.","Ehrenreich, J.H.; Hatch, Charles R.; Loewenstein, Howard; Various Contributors",Susan R. Hieb,1982,,"University of Idaho Forest, Wildlife and Range Experiment Station",Focus on Renewable Natural Resources Volume 7 - 1982,"Idaho SD12.I2 U452, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-fnrrv7,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/4,4,102.pdf,/fwres/image/102.pdf
Off-Road Vehicle Law & Idaho: An ORV Planning Aid,The bulletin presents an overview of off-road vehicle law with a focus on the planning or development stage.,"Power, John A.; Schuster, Ervin G.",,1975-04-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - April 1975 (No. 11),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is11,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/5,5,103.pdf,/fwres/image/103.pdf
A Directory to Disjunct and Endemic Plants of Central and Southern Idaho,The directory identifies locations of those plants in central and southern Idaho that have restricted distributions.,"Steele, Robert W.",,1975-03-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - March 1975 (No. 9),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is09,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/6,6,104.pdf,/fwres/image/104.pdf
The Role of Socio-Economic Data in Idaho Land Use Planning,The bulletin describes a study that provides a basis for viewing the current role of socio-economic data in the Idaho land-use planning process.,"Pope, Clem L.; Schuster, Ervin G.",,1975-04-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - April 1975 (No. 12),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is12,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/7,7,105.pdf,/fwres/image/105.pdf
Evaluation of Farm Tree Plantings in Idaho,The bulletin discusses the results of an evaluation survey of Idaho farm tree plantings.,"Burlison, Vernon H.; Tisdale, Edwin W.; Johnson, Frederic D.; Pitkin, Frank H.; Hauver, Richard N.",,1975-04-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - April 1975 (No. 13),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is13,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/8,8,106.pdf,/fwres/image/106.pdf
Directory of Idaho Wood Products Manufacturers 2000,This Directory of Idaho Wood Products Manufacturers has been prepared to assist in marketing the wide variety of wood products produced in the State of Idaho. It is our intent to list all wood products producers in the State that are interested in making their products and services available to potential customers. Companies listed range from primary wood products manufacturers to specialized niche product producers. Data published in this directory originated from several primary and secondary sources.,"Shook, Steven R.; Wagner, Francis G.",,2000-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous 21,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",University of Idaho; University of Montana; Washington State University; Inland Northwest Forest Products Research Consortium;,uifwre-m21,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/9,9,107.pdf,/fwres/image/107.pdf
Directory of Idaho Wood Products Manufacturers 2004,This Directory of Idaho Wood Products Manufacturers has been prepared to assist in marketing the wide variety of wood products produced in the State of Idaho. It is our intent to list all wood products producers in the State that are interested in making their products and services available to potential customers. Companies listed range from primary wood products manufacturers to specialized niche product producers. Data published in this directory originated from several primary and secondary sources.,"Blengeri-Oyarce, Carla D.; Shook, Steven R.",,2004-08-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous 22,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Inland Northwest Forest Products Research Consortium; Idaho Forest Products Commission;,uifwre-m22,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/10,10,108.pdf,/fwres/image/108.pdf
"Guidelines for Human Activity within the Range of Mountain Caribou, Southern Selkirk Mountains","The publication seeks to identify existing and potential conflicts between the range of mountain caribou in the Selkirk Range and human activities such as timber harvest, construction, and road, pipeline, and power line access.","Johnson, Donald R.; Miller, Donald R.; Peek, James M.",,1977-01-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous Publication 3,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-mp03,"some have it, some don't, all need to be: Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. ",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,2014-09-03,2018-11-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/fwres/id/11,11,109.pdf,/fwres/image/109.pdf
